"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","WT01","WT03","WT04","WT06","WT11"
"USC00170409","BATH, ME US","2020-01-01","0.30","1.0","12.0","31","28",,,"    1",,
"USC00170409","BATH, ME US","2020-01-02","0.00","0.0","12.0","38","20",,,,,
"USC00170409","BATH, ME US","2020-01-03","0.00","0.0","11.0","36","20",,,,,
"USC00170409","BATH, ME US","2020-01-04","0.00","0.0","11.0","40","28",,,,,
"USC00170409","BATH, ME US","2020-01-05","0.24","0.6","10.0","39","30",,,,,
"USC00170409","BATH, ME US","2020-01-06","0.00","0.0","10.0","33","5",,,,,
"USC00170409","BATH, ME US","2020-01-07","0.01","0.3","10.0","24","5",,,,,
"USC00170409","BATH, ME US","2020-01-08","0.06","0.7","10.0","35","12",,,,,
"USC00170409","BATH, ME US","2020-01-09","0.01","0.1","10.0","32","15",,,,,
"USC00170409","BATH, ME US","2020-01-10","0.00","0.0","10.0","26","6",,,,,
"USC00170409","BATH, ME US","2020-01-11","0.01","0.0","10.0","40","13",,,,,
"USC00170409","BATH, ME US","2020-01-12","0.21","0.0","3.0","51","34",,,,,
"USC00170409","BATH, ME US","2020-01-13","0.19","0.0","1.0","37","20",,,,,
"USC00170409","BATH, ME US","2020-01-14","0.00","0.0","1.0","25","20",,,,,
"USC00170409","BATH, ME US","2020-01-15","0.10","1.0","1.0","32","24",,,,,
"USC00170409","BATH, ME US","2020-01-16","0.14","1.5","2.0","43","26",,,,,
"USC00170409","BATH, ME US","2020-01-17","0.38","4.0","6.0","32","5",,,,,
"USC00170409","BATH, ME US","2020-01-18","0.00","0.0","6.0","14","-4",,,,,
"USC00170409","BATH, ME US","2020-01-19","0.56","5.0","11.0","16","-1",,,,,
"USC00170409","BATH, ME US","2020-01-20","0.00","0.0","10.0","32","14",,,,,
"USC00170409","BATH, ME US","2020-01-21","0.00","0.0","10.0","24","-7",,,,,
"USC00170409","BATH, ME US","2020-01-22","0.00","0.0","10.0","24","-7",,,,,
"USC00170409","BATH, ME US","2020-01-23","0.00","0.0","9.0","34","4",,,,,
"USC00170409","BATH, ME US","2020-01-24","0.00","0.0","9.0","40","4",,,,,
"USC00170409","BATH, ME US","2020-01-25","0.00","0.0","8.0","42","22",,,,,
"USC00170409","BATH, ME US","2020-01-26","1.45","0.0","4.0","41","32","    1",,,,
"USC00170409","BATH, ME US","2020-01-27","0.00","0.0","3.0","42","28","    1",,,,
"USC00170409","BATH, ME US","2020-01-28","0.00","0.0","3.0","44","28",,,,,
"USC00170409","BATH, ME US","2020-01-29","0.01","0.0","3.0","33","21",,,,,
"USC00170409","BATH, ME US","2020-01-30","0.00","0.0","3.0","36","10",,,,,
"USC00170409","BATH, ME US","2020-01-31","0.00","0.0","3.0","33","10",,,,,
"USC00170409","BATH, ME US","2020-02-01","0.00","0.0","3.0","41","11",,,,,
"USC00170409","BATH, ME US","2020-02-02","0.00","0.0","3.0","39","26",,,,,
"USC00170409","BATH, ME US","2020-02-03","0.00","0.0","3.0","40","17",,,,,
"USC00170409","BATH, ME US","2020-02-04","0.00","0.0","3.0","44","18",,,,,
"USC00170409","BATH, ME US","2020-02-05","0.00","0.0","2.0","35","24",,,,,
"USC00170409","BATH, ME US","2020-02-06","0.18","1.5","3.0","36","22",,,,,
"USC00170409","BATH, ME US","2020-02-07","0.29","2.5","6.0","29","22","    1",,,"    1",
"USC00170409","BATH, ME US","2020-02-08","0.49","0.0","6.0","32","11","    1",,"    1","    1",
"USC00170409","BATH, ME US","2020-02-09","0.00","0.0","6.0","25","-7",,,,,
"USC00170409","BATH, ME US","2020-02-10","0.16","1.0","6.0","37","-7",,,,"    1",
"USC00170409","BATH, ME US","2020-02-11","0.12","0.0","5.0","37","20","    1",,,,
