Date of Proclamation Action,Current Name,Name in Proclamation (#Proc.; size),Action (Bureau),President or Congress,State,Current Manager
1916-07-08,Acadia National Park,"Sieur de Monts (#1339; 5,000 ac)",Established (DOI),"Wilson, W.",ME,NPS
1978-12-01,Admiralty Island National Monument,"Admiralty Island (#4611; 1,100,000 ac)",Established (FS),"Carter, J.",AK,FS
2006-02-27,African Burial Ground National Monument,"African Burial Ground (#7984; 15,000 sq. ft.)",Established (NPS),"Bush, G.W.",NY,NPS
2000-01-11,Agua Fria National Monument,"Agua Fria (#7263; 71,100 ac)",Established (BLM),"Clinton, W.",AZ,BLM
2008-12-05,"Aleutian Islands World War II National Historic Area (NPS affiliated area / Alaska Maritime National Wildlife Refuge), Pearl Harbor National Memorial (NPS), Tule Lake National Monument (NPS)","World War II Valor in the Pacific (#8326; 6,310 ac)",Established (NPS & FWS),"Bush, G.W.","AK, CA, HI",NPS & FWS
1978-12-01,Aniakchak National Monument & Preserve,"Aniakchak (#4612; 350,000 ac)",Established (NPS),"Carter, J.",AK,NPS
1929-04-12,Arches National Park,"Arches (#1875; 4,520 ac)",Established (NPS),"Hoover, H.",UT,NPS
1938-11-25,Arches National Park,"Arches (#2312; 29,160 ac)",Enlarged,"Roosevelt, F.",UT,NPS
1960-07-22,Arches National Park,Arches (#3360; 480 ac),Enlarged,"Eisenhower, D.",UT,NPS
1960-07-22,Arches National Park,Arches (#3360; 720 ac),Diminished,"Eisenhower, D.",UT,NPS
1969-01-20,Arches National Park,"Arches (#3887; 48,943 ac)",Enlarged,"Johnson, L.",UT,NPS
1923-01-24,Aztec Ruin National Monument,Aztec Ruin (#1650; 4.6 ac),Established (NPS),"Harding, W.",NM,NPS
1928-07-02,Aztec Ruin National Monument,Aztec Ruin (#1840; 12.6 ac),Enlarged,"Coolidge, C.",NM,NPS
1930-12-19,Aztec Ruin National Monument,Aztec Ruin (#1928; 6.8788 ac),Enlarged,"Hoover, H.",NM,NPS
1948-05-27,Aztec Ruin National Monument,Aztec Ruin (#2787; 1.255 ac),Enlarged,"Truman, H.",NM,NPS
1916-02-11,Bandelier National Monument,"Bandelier (#1322; 23,352 ac)",Established (FS),"Wilson, W.",NM,NPS
1932-02-25,Bandelier National Monument,"Bandelier (#1991; 3,626 ac)",Enlarged,"Hoover, H.",NM,NPS
1961-01-09,Bandelier National Monument,"Bandelier (#3388; 3,600 ac)",Enlarged,"Eisenhower, D.",NM,NPS
1963-05-27,Bandelier National Monument,"Bandelier (#3539; 2,882 ac)",Diminished,"Kennedy, J.",NM,NPS
1963-05-27,Bandelier National Monument,"Bandelier (#3539; 2,882 ac)",Enlarged,"Kennedy, J.",NM,NPS
2015-07-10,Basin and Range National Monument,"Basin and Range (#9297; 704,000 ac)",Established (BLM),"Obama, B.",NV,BLM
2016-12-28,Bears Ears National Monument,"Bears Ears (#9558; 1,350,000 ac)",Established (BLM & FS),"Obama, B.",UT,BLM & FS
